曜日,層,行動,時刻(時間:分),行為者率(%)
平日,国民全体,睡眠,0:00,83.9
平日,国民全体,睡眠,0:15,84.5
平日,国民全体,睡眠,0:30,86.8
平日,国民全体,睡眠,0:45,87.0
平日,国民全体,睡眠,1:00,90.1
平日,国民全体,睡眠,1:15,90.5
平日,国民全体,睡眠,1:30,91.9
平日,国民全体,睡眠,1:45,92.1
平日,国民全体,睡眠,2:00,94.1
平日,国民全体,睡眠,2:15,94.1
平日,国民全体,睡眠,2:30,94.6
平日,国民全体,睡眠,2:45,94.5
平日,国民全体,睡眠,3:00,94.9
平日,国民全体,睡眠,3:15,95.1
平日,国民全体,睡眠,3:30,94.9
平日,国民全体,睡眠,3:45,94.7
平日,国民全体,睡眠,4:00,93.4
平日,国民全体,睡眠,4:15,93.0
平日,国民全体,睡眠,4:30,91.1
平日,国民全体,睡眠,4:45,90.5
平日,国民全体,睡眠,5:00,83.4
平日,国民全体,睡眠,5:15,81.8
平日,国民全体,睡眠,5:30,72.9
平日,国民全体,睡眠,5:45,70.0
平日,国民全体,睡眠,6:00,52.3
平日,国民全体,睡眠,6:15,48.4
平日,国民全体,睡眠,6:30,34.4
平日,国民全体,睡眠,6:45,30.8
平日,国民全体,睡眠,7:00,18.2
平日,国民全体,睡眠,7:15,16.5
平日,国民全体,睡眠,7:30,10.6
平日,国民全体,睡眠,7:45,9.9
平日,国民全体,睡眠,8:00,6.3
平日,国民全体,睡眠,8:15,6.0
平日,国民全体,睡眠,8:30,5.1
平日,国民全体,睡眠,8:45,4.8
平日,国民全体,睡眠,9:00,3.3
平日,国民全体,睡眠,9:15,3.2
平日,国民全体,睡眠,9:30,3.1
平日,国民全体,睡眠,9:45,3.1
平日,国民全体,睡眠,10:00,2.6
平日,国民全体,睡眠,10:15,2.6
平日,国民全体,睡眠,10:30,2.4
平日,国民全体,睡眠,10:45,2.4
平日,国民全体,睡眠,11:00,2.1
平日,国民全体,睡眠,11:15,2.1
平日,国民全体,睡眠,11:30,2.0
平日,国民全体,睡眠,11:45,2.0
平日,国民全体,睡眠,12:00,1.6
平日,国民全体,睡眠,12:15,1.9
平日,国民全体,睡眠,12:30,2.6
平日,国民全体,睡眠,12:45,2.7
平日,国民全体,睡眠,13:00,2.8
平日,国民全体,睡眠,13:15,2.7
平日,国民全体,睡眠,13:30,2.9
平日,国民全体,睡眠,13:45,3.1
平日,国民全体,睡眠,14:00,3.3
平日,国民全体,睡眠,14:15,3.2
平日,国民全体,睡眠,14:30,2.9
平日,国民全体,睡眠,14:45,2.7
平日,国民全体,睡眠,15:00,2.4
平日,国民全体,睡眠,15:15,2.3
平日,国民全体,睡眠,15:30,2.1
平日,国民全体,睡眠,15:45,2.1
平日,国民全体,睡眠,16:00,1.9
平日,国民全体,睡眠,16:15,1.9
平日,国民全体,睡眠,16:30,1.7
平日,国民全体,睡眠,16:45,1.6
平日,国民全体,睡眠,17:00,1.3
平日,国民全体,睡眠,17:15,1.3
平日,国民全体,睡眠,17:30,1.2
平日,国民全体,睡眠,17:45,1.2
平日,国民全体,睡眠,18:00,1.0
平日,国民全体,睡眠,18:15,0.9
平日,国民全体,睡眠,18:30,0.8
平日,国民全体,睡眠,18:45,0.8
平日,国民全体,睡眠,19:00,1.0
平日,国民全体,睡眠,19:15,0.9
平日,国民全体,睡眠,19:30,1.1
平日,国民全体,睡眠,19:45,1.1
平日,国民全体,睡眠,20:00,1.8
平日,国民全体,睡眠,20:15,1.9
平日,国民全体,睡眠,20:30,2.7
平日,国民全体,睡眠,20:45,2.7
平日,国民全体,睡眠,21:00,8.5
平日,国民全体,睡眠,21:15,8.9
平日,国民全体,睡眠,21:30,13.3
平日,国民全体,睡眠,21:45,13.9
平日,国民全体,睡眠,22:00,24.8
平日,国民全体,睡眠,22:15,25.7
平日,国民全体,睡眠,22:30,33.9
平日,国民全体,睡眠,22:45,35.1
平日,国民全体,睡眠,23:00,51.4
平日,国民全体,睡眠,23:15,53.1
平日,国民全体,睡眠,23:30,64.0
平日,国民全体,睡眠,23:45,66.2
平日,国民全体,食事,0:00,0.5
平日,国民全体,食事,0:15,0.5
平日,国民全体,食事,0:30,0.5
平日,国民全体,食事,0:45,0.5
平日,国民全体,食事,1:00,0.3
平日,国民全体,食事,1:15,0.3
平日,国民全体,食事,1:30,0.2
平日,国民全体,食事,1:45,0.2
平日,国民全体,食事,2:00,0.1
平日,国民全体,食事,2:15,0.1
平日,国民全体,食事,2:30,0.2
平日,国民全体,食事,2:45,0.2
平日,国民全体,食事,3:00,0.1
平日,国民全体,食事,3:15,0.1
平日,国民全体,食事,3:30,0.2
平日,国民全体,食事,3:45,0.2
平日,国民全体,食事,4:00,0.3
平日,国民全体,食事,4:15,0.2
平日,国民全体,食事,4:30,0.4
平日,国民全体,食事,4:45,0.6
平日,国民全体,食事,5:00,1.1
平日,国民全体,食事,5:15,1.8
平日,国民全体,食事,5:30,2.9
平日,国民全体,食事,5:45,3.7
平日,国民全体,食事,6:00,7.6
平日,国民全体,食事,6:15,8.1
平日,国民全体,食事,6:30,12.3
平日,国民全体,食事,6:45,14.6
平日,国民全体,食事,7:00,20.2
平日,国民全体,食事,7:15,19.0
平日,国民全体,食事,7:30,15.8
平日,国民全体,食事,7:45,14.6
平日,国民全体,食事,8:00,11.9
平日,国民全体,食事,8:15,9.7
平日,国民全体,食事,8:30,5.9
平日,国民全体,食事,8:45,5.3
平日,国民全体,食事,9:00,3.1
平日,国民全体,食事,9:15,2.7
平日,国民全体,食事,9:30,2.1
平日,国民全体,食事,9:45,1.8
平日,国民全体,食事,10:00,1.3
平日,国民全体,食事,10:15,1.1
平日,国民全体,食事,10:30,1.2
平日,国民全体,食事,10:45,1.3
平日,国民全体,食事,11:00,2.4
平日,国民全体,食事,11:15,2.6
平日,国民全体,食事,11:30,5.9
平日,国民全体,食事,11:45,7.4
平日,国民全体,食事,12:00,39.0
平日,国民全体,食事,12:15,38.7
平日,国民全体,食事,12:30,28.7
平日,国民全体,食事,12:45,25.4
平日,国民全体,食事,13:00,12.6
平日,国民全体,食事,13:15,10.0
平日,国民全体,食事,13:30,5.9
平日,国民全体,食事,13:45,5.0
平日,国民全体,食事,14:00,3.1
平日,国民全体,食事,14:15,2.8
平日,国民全体,食事,14:30,1.7
平日,国民全体,食事,14:45,1.5
平日,国民全体,食事,15:00,1.0
平日,国民全体,食事,15:15,0.9
平日,国民全体,食事,15:30,0.7
平日,国民全体,食事,15:45,0.7
平日,国民全体,食事,16:00,0.8
平日,国民全体,食事,16:15,0.8
平日,国民全体,食事,16:30,0.7
平日,国民全体,食事,16:45,0.9
平日,国民全体,食事,17:00,3.1
平日,国民全体,食事,17:15,3.5
平日,国民全体,食事,17:30,5.6
平日,国民全体,食事,17:45,6.8
平日,国民全体,食事,18:00,16.8
平日,国民全体,食事,18:15,18.5
平日,国民全体,食事,18:30,20.7
平日,国民全体,食事,18:45,21.1
平日,国民全体,食事,19:00,27.6
平日,国民全体,食事,19:15,26.7
平日,国民全体,食事,19:30,23.0
平日,国民全体,食事,19:45,20.8
平日,国民全体,食事,20:00,13.4
平日,国民全体,食事,20:15,12.5
平日,国民全体,食事,20:30,9.3
平日,国民全体,食事,20:45,8.4
平日,国民全体,食事,21:00,5.6
平日,国民全体,食事,21:15,4.9
平日,国民全体,食事,21:30,3.6
平日,国民全体,食事,21:45,3.3
平日,国民全体,食事,22:00,2.4
平日,国民全体,食事,22:15,2.2
平日,国民全体,食事,22:30,1.2
平日,国民全体,食事,22:45,1.2
平日,国民全体,食事,23:00,1.0
平日,国民全体,食事,23:15,0.8
平日,国民全体,食事,23:30,0.4
平日,国民全体,食事,23:45,0.5
平日,国民全体,身のまわりの用事,0:00,1.6
平日,国民全体,身のまわりの用事,0:15,1.6
平日,国民全体,身のまわりの用事,0:30,1.4
平日,国民全体,身のまわりの用事,0:45,1.3
平日,国民全体,身のまわりの用事,1:00,0.9
平日,国民全体,身のまわりの用事,1:15,0.8
平日,国民全体,身のまわりの用事,1:30,0.6
平日,国民全体,身のまわりの用事,1:45,0.6
平日,国民全体,身のまわりの用事,2:00,0.4
平日,国民全体,身のまわりの用事,2:15,0.5
平日,国民全体,身のまわりの用事,2:30,0.4
平日,国民全体,身のまわりの用事,2:45,0.4
平日,国民全体,身のまわりの用事,3:00,0.3
平日,国民全体,身のまわりの用事,3:15,0.2
平日,国民全体,身のまわりの用事,3:30,0.3
平日,国民全体,身のまわりの用事,3:45,0.4
平日,国民全体,身のまわりの用事,4:00,0.8
平日,国民全体,身のまわりの用事,4:15,1.1
平日,国民全体,身のまわりの用事,4:30,2.4
平日,国民全体,身のまわりの用事,4:45,2.3
平日,国民全体,身のまわりの用事,5:00,5.6
平日,国民全体,身のまわりの用事,5:15,5.5
平日,国民全体,身のまわりの用事,5:30,8.8
平日,国民全体,身のまわりの用事,5:45,8.8
平日,国民全体,身のまわりの用事,6:00,15.9
平日,国民全体,身のまわりの用事,6:15,15.4
平日,国民全体,身のまわりの用事,6:30,20.1
平日,国民全体,身のまわりの用事,6:45,19.5
平日,国民全体,身のまわりの用事,7:00,20.2
平日,国民全体,身のまわりの用事,7:15,18.1
平日,国民全体,身のまわりの用事,7:30,15.7
平日,国民全体,身のまわりの用事,7:45,13.2
平日,国民全体,身のまわりの用事,8:00,10.9
平日,国民全体,身のまわりの用事,8:15,9.0
平日,国民全体,身のまわりの用事,8:30,6.0
平日,国民全体,身のまわりの用事,8:45,5.5
平日,国民全体,身のまわりの用事,9:00,4.3
平日,国民全体,身のまわりの用事,9:15,3.6
平日,国民全体,身のまわりの用事,9:30,2.7
平日,国民全体,身のまわりの用事,9:45,2.5
平日,国民全体,身のまわりの用事,10:00,2.5
平日,国民全体,身のまわりの用事,10:15,2.1
平日,国民全体,身のまわりの用事,10:30,1.9
平日,国民全体,身のまわりの用事,10:45,1.8
平日,国民全体,身のまわりの用事,11:00,1.5
平日,国民全体,身のまわりの用事,11:15,1.5
平日,国民全体,身のまわりの用事,11:30,1.4
平日,国民全体,身のまわりの用事,11:45,1.4
平日,国民全体,身のまわりの用事,12:00,1.6
平日,国民全体,身のまわりの用事,12:15,1.6
平日,国民全体,身のまわりの用事,12:30,1.4
平日,国民全体,身のまわりの用事,12:45,1.9
平日,国民全体,身のまわりの用事,13:00,1.4
平日,国民全体,身のまわりの用事,13:15,1.4
平日,国民全体,身のまわりの用事,13:30,1.2
平日,国民全体,身のまわりの用事,13:45,1.0
平日,国民全体,身のまわりの用事,14:00,0.9
平日,国民全体,身のまわりの用事,14:15,1.1
平日,国民全体,身のまわりの用事,14:30,1.0
平日,国民全体,身のまわりの用事,14:45,1.0
平日,国民全体,身のまわりの用事,15:00,1.1
平日,国民全体,身のまわりの用事,15:15,1.2
平日,国民全体,身のまわりの用事,15:30,1.3
平日,国民全体,身のまわりの用事,15:45,1.0
平日,国民全体,身のまわりの用事,16:00,1.6
平日,国民全体,身のまわりの用事,16:15,1.5
平日,国民全体,身のまわりの用事,16:30,1.7
平日,国民全体,身のまわりの用事,16:45,1.8
平日,国民全体,身のまわりの用事,17:00,3.2
平日,国民全体,身のまわりの用事,17:15,3.4
平日,国民全体,身のまわりの用事,17:30,4.1
平日,国民全体,身のまわりの用事,17:45,4.2
平日,国民全体,身のまわりの用事,18:00,5.9
平日,国民全体,身のまわりの用事,18:15,6.6
平日,国民全体,身のまわりの用事,18:30,7.3
平日,国民全体,身のまわりの用事,18:45,7.0
平日,国民全体,身のまわりの用事,19:00,7.7
平日,国民全体,身のまわりの用事,19:15,7.7
平日,国民全体,身のまわりの用事,19:30,8.1
平日,国民全体,身のまわりの用事,19:45,8.1
平日,国民全体,身のまわりの用事,20:00,11.2
平日,国民全体,身のまわりの用事,20:15,11.4
平日,国民全体,身のまわりの用事,20:30,11.9
平日,国民全体,身のまわりの用事,20:45,12.1
平日,国民全体,身のまわりの用事,21:00,12.9
平日,国民全体,身のまわりの用事,21:15,13.0
平日,国民全体,身のまわりの用事,21:30,11.4
平日,国民全体,身のまわりの用事,21:45,11.2
平日,国民全体,身のまわりの用事,22:00,11.0
平日,国民全体,身のまわりの用事,22:15,10.5
平日,国民全体,身のまわりの用事,22:30,10.1
平日,国民全体,身のまわりの用事,22:45,9.8
平日,国民全体,身のまわりの用事,23:00,7.7
平日,国民全体,身のまわりの用事,23:15,7.4
平日,国民全体,身のまわりの用事,23:30,4.8
平日,国民全体,身のまわりの用事,23:45,4.4
平日,国民全体,療養・静養,0:00,0.1
平日,国民全体,療養・静養,0:15,0.1
平日,国民全体,療養・静養,0:30,0.1
平日,国民全体,療養・静養,0:45,0.1
平日,国民全体,療養・静養,1:00,0.1
平日,国民全体,療養・静養,1:15,0.1
平日,国民全体,療養・静養,1:30,0.1
平日,国民全体,療養・静養,1:45,0.1
平日,国民全体,療養・静養,2:00,0.1
平日,国民全体,療養・静養,2:15,0.1
平日,国民全体,療養・静養,2:30,0.1
平日,国民全体,療養・静養,2:45,0.1
平日,国民全体,療養・静養,3:00,0.1
平日,国民全体,療養・静養,3:15,0.1
平日,国民全体,療養・静養,3:30,0.1
平日,国民全体,療養・静養,3:45,0.1
平日,国民全体,療養・静養,4:00,0.1
平日,国民全体,療養・静養,4:15,0.1
平日,国民全体,療養・静養,4:30,0.1
平日,国民全体,療養・静養,4:45,0.1
平日,国民全体,療養・静養,5:00,0.1
平日,国民全体,療養・静養,5:15,0.2
平日,国民全体,療養・静養,5:30,0.1
平日,国民全体,療養・静養,5:45,0.1
平日,国民全体,療養・静養,6:00,0.2
平日,国民全体,療養・静養,6:15,0.2
平日,国民全体,療養・静養,6:30,0.2
平日,国民全体,療養・静養,6:45,0.2
平日,国民全体,療養・静養,7:00,0.3
平日,国民全体,療養・静養,7:15,0.4
平日,国民全体,療養・静養,7:30,0.4
平日,国民全体,療養・静養,7:45,0.5
平日,国民全体,療養・静養,8:00,1.0
平日,国民全体,療養・静養,8:15,1.1
平日,国民全体,療養・静養,8:30,1.6
平日,国民全体,療養・静養,8:45,1.7
平日,国民全体,療養・静養,9:00,2.3
平日,国民全体,療養・静養,9:15,2.4
平日,国民全体,療養・静養,9:30,2.8
平日,国民全体,療養・静養,9:45,2.8
平日,国民全体,療養・静養,10:00,3.0
平日,国民全体,療養・静養,10:15,3.1
平日,国民全体,療養・静養,10:30,3.1
平日,国民全体,療養・静養,10:45,3.1
平日,国民全体,療養・静養,11:00,2.8
平日,国民全体,療養・静養,11:15,2.8
平日,国民全体,療養・静養,11:30,2.3
平日,国民全体,療養・静養,11:45,2.3
平日,国民全体,療養・静養,12:00,1.6
平日,国民全体,療養・静養,12:15,1.6
平日,国民全体,療養・静養,12:30,1.5
平日,国民全体,療養・静養,12:45,1.4
平日,国民全体,療養・静養,13:00,1.4
平日,国民全体,療養・静養,13:15,1.4
平日,国民全体,療養・静養,13:30,1.4
平日,国民全体,療養・静養,13:45,1.4
平日,国民全体,療養・静養,14:00,1.5
平日,国民全体,療養・静養,14:15,1.5
平日,国民全体,療養・静養,14:30,1.5
平日,国民全体,療養・静養,14:45,1.6
平日,国民全体,療養・静養,15:00,1.6
平日,国民全体,療養・静養,15:15,1.6
平日,国民全体,療養・静養,15:30,1.4
平日,国民全体,療養・静養,15:45,1.4
平日,国民全体,療養・静養,16:00,1.1
平日,国民全体,療養・静養,16:15,1.2
平日,国民全体,療養・静養,16:30,1.1
平日,国民全体,療養・静養,16:45,1.1
平日,国民全体,療養・静養,17:00,0.9
平日,国民全体,療養・静養,17:15,0.9
平日,国民全体,療養・静養,17:30,0.8
平日,国民全体,療養・静養,17:45,0.7
平日,国民全体,療養・静養,18:00,0.5
平日,国民全体,療養・静養,18:15,0.4
平日,国民全体,療養・静養,18:30,0.4
平日,国民全体,療養・静養,18:45,0.4
平日,国民全体,療養・静養,19:00,0.4
平日,国民全体,療養・静養,19:15,0.4
平日,国民全体,療養・静養,19:30,0.3
平日,国民全体,療養・静養,19:45,0.3
平日,国民全体,療養・静養,20:00,0.3
平日,国民全体,療養・静養,20:15,0.3
平日,国民全体,療養・静養,20:30,0.3
平日,国民全体,療養・静養,20:45,0.3
平日,国民全体,療養・静養,21:00,0.2
平日,国民全体,療養・静養,21:15,0.2
平日,国民全体,療養・静養,21:30,0.2
平日,国民全体,療養・静養,21:45,0.2
平日,国民全体,療養・静養,22:00,0.3
平日,国民全体,療養・静養,22:15,0.3
平日,国民全体,療養・静養,22:30,0.3
平日,国民全体,療養・静養,22:45,0.2
平日,国民全体,療養・静養,23:00,0.2
平日,国民全体,療養・静養,23:15,0.2
平日,国民全体,療養・静養,23:30,0.2
平日,国民全体,療養・静養,23:45,0.2
平日,国民全体,仕事関連,0:00,1.6
平日,国民全体,仕事関連,0:15,1.6
平日,国民全体,仕事関連,0:30,1.6
平日,国民全体,仕事関連,0:45,1.6
平日,国民全体,仕事関連,1:00,1.4
平日,国民全体,仕事関連,1:15,1.4
平日,国民全体,仕事関連,1:30,1.5
平日,国民全体,仕事関連,1:45,1.5
平日,国民全体,仕事関連,2:00,1.5
平日,国民全体,仕事関連,2:15,1.5
平日,国民全体,仕事関連,2:30,1.5
平日,国民全体,仕事関連,2:45,1.5
平日,国民全体,仕事関連,3:00,1.6
平日,国民全体,仕事関連,3:15,1.5
平日,国民全体,仕事関連,3:30,1.4
平日,国民全体,仕事関連,3:45,1.5
平日,国民全体,仕事関連,4:00,1.6
平日,国民全体,仕事関連,4:15,1.7
平日,国民全体,仕事関連,4:30,1.7
平日,国民全体,仕事関連,4:45,1.7
平日,国民全体,仕事関連,5:00,2.0
平日,国民全体,仕事関連,5:15,2.0
平日,国民全体,仕事関連,5:30,2.1
平日,国民全体,仕事関連,5:45,2.3
平日,国民全体,仕事関連,6:00,3.1
平日,国民全体,仕事関連,6:15,3.3
平日,国民全体,仕事関連,6:30,4.0
平日,国民全体,仕事関連,6:45,4.6
平日,国民全体,仕事関連,7:00,6.2
平日,国民全体,仕事関連,7:15,7.0
平日,国民全体,仕事関連,7:30,9.8
平日,国民全体,仕事関連,7:45,11.9
平日,国民全体,仕事関連,8:00,19.7
平日,国民全体,仕事関連,8:15,23.0
平日,国民全体,仕事関連,8:30,29.8
平日,国民全体,仕事関連,8:45,31.5
平日,国民全体,仕事関連,9:00,38.8
平日,国民全体,仕事関連,9:15,39.5
平日,国民全体,仕事関連,9:30,41.4
平日,国民全体,仕事関連,9:45,41.9
平日,国民全体,仕事関連,10:00,41.9
平日,国民全体,仕事関連,10:15,42.9
平日,国民全体,仕事関連,10:30,43.9
平日,国民全体,仕事関連,10:45,44.1
平日,国民全体,仕事関連,11:00,43.7
平日,国民全体,仕事関連,11:15,43.3
平日,国民全体,仕事関連,11:30,41.9
平日,国民全体,仕事関連,11:45,41.1
平日,国民全体,仕事関連,12:00,20.5
平日,国民全体,仕事関連,12:15,19.9
平日,国民全体,仕事関連,12:30,20.5
平日,国民全体,仕事関連,12:45,22.0
平日,国民全体,仕事関連,13:00,37.4
平日,国民全体,仕事関連,13:15,38.6
平日,国民全体,仕事関連,13:30,40.5
平日,国民全体,仕事関連,13:45,40.5
平日,国民全体,仕事関連,14:00,42.4
平日,国民全体,仕事関連,14:15,42.5
平日,国民全体,仕事関連,14:30,43.2
平日,国民全体,仕事関連,14:45,43.2
平日,国民全体,仕事関連,15:00,40.4
平日,国民全体,仕事関連,15:15,41.4
平日,国民全体,仕事関連,15:30,41.6
平日,国民全体,仕事関連,15:45,41.8
平日,国民全体,仕事関連,16:00,39.6
平日,国民全体,仕事関連,16:15,39.4
平日,国民全体,仕事関連,16:30,38.0
平日,国民全体,仕事関連,16:45,37.4
平日,国民全体,仕事関連,17:00,31.8
平日,国民全体,仕事関連,17:15,30.0
平日,国民全体,仕事関連,17:30,25.5
平日,国民全体,仕事関連,17:45,24.4
平日,国民全体,仕事関連,18:00,19.0
平日,国民全体,仕事関連,18:15,17.7
平日,国民全体,仕事関連,18:30,14.3
平日,国民全体,仕事関連,18:45,13.7
平日,国民全体,仕事関連,19:00,10.2
平日,国民全体,仕事関連,19:15,9.3
平日,国民全体,仕事関連,19:30,7.9
平日,国民全体,仕事関連,19:45,7.5
平日,国民全体,仕事関連,20:00,6.4
平日,国民全体,仕事関連,20:15,6.2
平日,国民全体,仕事関連,20:30,5.6
平日,国民全体,仕事関連,20:45,5.4
平日,国民全体,仕事関連,21:00,4.5
平日,国民全体,仕事関連,21:15,4.4
平日,国民全体,仕事関連,21:30,3.8
平日,国民全体,仕事関連,21:45,3.6
平日,国民全体,仕事関連,22:00,3.4
平日,国民全体,仕事関連,22:15,3.3
平日,国民全体,仕事関連,22:30,3.1
平日,国民全体,仕事関連,22:45,3.1
平日,国民全体,仕事関連,23:00,2.5
平日,国民全体,仕事関連,23:15,2.4
平日,国民全体,仕事関連,23:30,2.4
平日,国民全体,仕事関連,23:45,2.3
平日,国民全体,仕事,0:00,1.6
平日,国民全体,仕事,0:15,1.6
平日,国民全体,仕事,0:30,1.5
平日,国民全体,仕事,0:45,1.5
平日,国民全体,仕事,1:00,1.4
平日,国民全体,仕事,1:15,1.4
平日,国民全体,仕事,1:30,1.5
平日,国民全体,仕事,1:45,1.5
平日,国民全体,仕事,2:00,1.4
平日,国民全体,仕事,2:15,1.5
平日,国民全体,仕事,2:30,1.4
平日,国民全体,仕事,2:45,1.4
平日,国民全体,仕事,3:00,1.5
平日,国民全体,仕事,3:15,1.5
平日,国民全体,仕事,3:30,1.4
平日,国民全体,仕事,3:45,1.5
平日,国民全体,仕事,4:00,1.6
平日,国民全体,仕事,4:15,1.6
平日,国民全体,仕事,4:30,1.6
平日,国民全体,仕事,4:45,1.7
平日,国民全体,仕事,5:00,2.0
平日,国民全体,仕事,5:15,2.0
平日,国民全体,仕事,5:30,2.1
平日,国民全体,仕事,5:45,2.3
平日,国民全体,仕事,6:00,3.0
平日,国民全体,仕事,6:15,3.3
平日,国民全体,仕事,6:30,3.9
平日,国民全体,仕事,6:45,4.5
平日,国民全体,仕事,7:00,6.1
平日,国民全体,仕事,7:15,6.8
平日,国民全体,仕事,7:30,9.6
平日,国民全体,仕事,7:45,11.6
平日,国民全体,仕事,8:00,19.4
平日,国民全体,仕事,8:15,22.6
平日,国民全体,仕事,8:30,29.5
平日,国民全体,仕事,8:45,31.1
平日,国民全体,仕事,9:00,38.3
平日,国民全体,仕事,9:15,39.0
平日,国民全体,仕事,9:30,40.9
平日,国民全体,仕事,9:45,41.3
平日,国民全体,仕事,10:00,41.4
平日,国民全体,仕事,10:15,42.3
平日,国民全体,仕事,10:30,43.3
平日,国民全体,仕事,10:45,43.5
平日,国民全体,仕事,11:00,43.2
平日,国民全体,仕事,11:15,42.7
平日,国民全体,仕事,11:30,41.3
平日,国民全体,仕事,11:45,40.5
平日,国民全体,仕事,12:00,20.3
平日,国民全体,仕事,12:15,19.6
平日,国民全体,仕事,12:30,20.1
平日,国民全体,仕事,12:45,21.6
平日,国民全体,仕事,13:00,37.1
平日,国民全体,仕事,13:15,38.3
平日,国民全体,仕事,13:30,40.0
平日,国民全体,仕事,13:45,40.1
平日,国民全体,仕事,14:00,41.9
平日,国民全体,仕事,14:15,42.0
平日,国民全体,仕事,14:30,42.7
平日,国民全体,仕事,14:45,42.8
平日,国民全体,仕事,15:00,39.8
平日,国民全体,仕事,15:15,40.9
平日,国民全体,仕事,15:30,41.1
平日,国民全体,仕事,15:45,41.3
平日,国民全体,仕事,16:00,39.2
平日,国民全体,仕事,16:15,39.0
平日,国民全体,仕事,16:30,37.6
平日,国民全体,仕事,16:45,37.0
平日,国民全体,仕事,17:00,31.3
平日,国民全体,仕事,17:15,29.5
平日,国民全体,仕事,17:30,25.0
平日,国民全体,仕事,17:45,23.9
平日,国民全体,仕事,18:00,18.3
平日,国民全体,仕事,18:15,17.0
平日,国民全体,仕事,18:30,13.7
平日,国民全体,仕事,18:45,13.0
平日,国民全体,仕事,19:00,9.6
平日,国民全体,仕事,19:15,8.8
平日,国民全体,仕事,19:30,7.3
平日,国民全体,仕事,19:45,7.0
平日,国民全体,仕事,20:00,6.0
平日,国民全体,仕事,20:15,5.7
平日,国民全体,仕事,20:30,5.2
平日,国民全体,仕事,20:45,5.0
平日,国民全体,仕事,21:00,4.2
平日,国民全体,仕事,21:15,4.1
平日,国民全体,仕事,21:30,3.5
平日,国民全体,仕事,21:45,3.3
平日,国民全体,仕事,22:00,3.1
平日,国民全体,仕事,22:15,3.0
平日,国民全体,仕事,22:30,3.0
平日,国民全体,仕事,22:45,2.9
平日,国民全体,仕事,23:00,2.4
平日,国民全体,仕事,23:15,2.3
平日,国民全体,仕事,23:30,2.3
平日,国民全体,仕事,23:45,2.3
平日,国民全体,仕事のつきあい,0:00,0.0
平日,国民全体,仕事のつきあい,0:15,0.0
平日,国民全体,仕事のつきあい,0:30,0.0
平日,国民全体,仕事のつきあい,0:45,0.0
平日,国民全体,仕事のつきあい,1:00,0.0
平日,国民全体,仕事のつきあい,1:15,0.0
平日,国民全体,仕事のつきあい,1:30,0.0
平日,国民全体,仕事のつきあい,1:45,0.0
平日,国民全体,仕事のつきあい,2:00,0.0
平日,国民全体,仕事のつきあい,2:15,0.0
平日,国民全体,仕事のつきあい,2:30,0.0
平日,国民全体,仕事のつきあい,2:45,0.0
平日,国民全体,仕事のつきあい,3:00,0.0
平日,国民全体,仕事のつきあい,3:15,0.0
平日,国民全体,仕事のつきあい,3:30,0.0
平日,国民全体,仕事のつきあい,3:45,0.0
平日,国民全体,仕事のつきあい,4:00,0.0
平日,国民全体,仕事のつきあい,4:15,0.0
平日,国民全体,仕事のつきあい,4:30,0.0
平日,国民全体,仕事のつきあい,4:45,0.0
平日,国民全体,仕事のつきあい,5:00,0.0
平日,国民全体,仕事のつきあい,5:15,0.0
平日,国民全体,仕事のつきあい,5:30,0.0
平日,国民全体,仕事のつきあい,5:45,0.0
平日,国民全体,仕事のつきあい,6:00,0.0
平日,国民全体,仕事のつきあい,6:15,0.0
平日,国民全体,仕事のつきあい,6:30,0.1
平日,国民全体,仕事のつきあい,6:45,0.1
平日,国民全体,仕事のつきあい,7:00,0.1
平日,国民全体,仕事のつきあい,7:15,0.1
平日,国民全体,仕事のつきあい,7:30,0.3
平日,国民全体,仕事のつきあい,7:45,0.4
平日,国民全体,仕事のつきあい,8:00,0.4
平日,国民全体,仕事のつきあい,8:15,0.3
平日,国民全体,仕事のつきあい,8:30,0.3
平日,国民全体,仕事のつきあい,8:45,0.4
平日,国民全体,仕事のつきあい,9:00,0.5
平日,国民全体,仕事のつきあい,9:15,0.6
平日,国民全体,仕事のつきあい,9:30,0.6
平日,国民全体,仕事のつきあい,9:45,0.6
平日,国民全体,仕事のつきあい,10:00,0.5
平日,国民全体,仕事のつきあい,10:15,0.6
平日,国民全体,仕事のつきあい,10:30,0.6
平日,国民全体,仕事のつきあい,10:45,0.6
平日,国民全体,仕事のつきあい,11:00,0.6
平日,国民全体,仕事のつきあい,11:15,0.6
平日,国民全体,仕事のつきあい,11:30,0.6
平日,国民全体,仕事のつきあい,11:45,0.6
平日,国民全体,仕事のつきあい,12:00,0.3
平日,国民全体,仕事のつきあい,12:15,0.3
平日,国民全体,仕事のつきあい,12:30,0.4
平日,国民全体,仕事のつきあい,12:45,0.4
平日,国民全体,仕事のつきあい,13:00,0.3
平日,国民全体,仕事のつきあい,13:15,0.3
平日,国民全体,仕事のつきあい,13:30,0.4
平日,国民全体,仕事のつきあい,13:45,0.4
平日,国民全体,仕事のつきあい,14:00,0.5
平日,国民全体,仕事のつきあい,14:15,0.5
平日,国民全体,仕事のつきあい,14:30,0.4
平日,国民全体,仕事のつきあい,14:45,0.5
平日,国民全体,仕事のつきあい,15:00,0.5
平日,国民全体,仕事のつきあい,15:15,0.6
平日,国民全体,仕事のつきあい,15:30,0.5
