"tab_code","表章事項","cat01_code","国籍総数か日本人","cat02_code","男女","cat03_code","年齢","area_code","全国～人口50万以上の市","time_code","時間軸（年次）","unit","value"
"2020_01","人口","0","国籍総数","1","男","057","56歳","00000","全国","2020000000","2020年","人","788824"
"2020_01","人口","0","国籍総数","1","男","058","57歳","00000","全国","2020000000","2020年","人","767258"
"2020_01","人口","0","国籍総数","1","男","059","58歳","00000","全国","2020000000","2020年","人","741565"
"2020_01","人口","0","国籍総数","1","男","060","59歳","00000","全国","2020000000","2020年","人","725108"
"2020_01","人口","0","国籍総数","1","男","061","60歳","00000","全国","2020000000","2020年","人","726778"
"2020_01","人口","0","国籍総数","1","男","062","61歳","00000","全国","2020000000","2020年","人","738473"
"2020_01","人口","0","国籍総数","1","男","063","62歳","00000","全国","2020000000","2020年","人","713490"
"2020_01","人口","0","国籍総数","1","男","064","63歳","00000","全国","2020000000","2020年","人","691447"
"2020_01","人口","0","国籍総数","1","男","065","64歳","00000","全国","2020000000","2020年","人","722715"
"2020_01","人口","0","国籍総数","1","男","066","65歳","00000","全国","2020000000","2020年","人","741752"
"2020_01","人口","0","国籍総数","1","男","067","66歳","00000","全国","2020000000","2020年","人","736356"
"2020_01","人口","0","国籍総数","1","男","068","67歳","00000","全国","2020000000","2020年","人","773688"
"2020_01","人口","0","国籍総数","1","男","069","68歳","00000","全国","2020000000","2020年","人","809590"
"2020_01","人口","0","国籍総数","1","男","070","69歳","00000","全国","2020000000","2020年","人","848674"
"2020_01","人口","0","国籍総数","1","男","071","70歳","00000","全国","2020000000","2020年","人","898630"
"2020_01","人口","0","国籍総数","1","男","072","71歳","00000","全国","2020000000","2020年","人","974111"
"2020_01","人口","0","国籍総数","1","男","073","72歳","00000","全国","2020000000","2020年","人","949118"
"2020_01","人口","0","国籍総数","1","男","074","73歳","00000","全国","2020000000","2020年","人","888828"
"2020_01","人口","0","国籍総数","1","男","075","74歳","00000","全国","2020000000","2020年","人","538599"
"2020_01","人口","0","国籍総数","1","男","076","75歳","00000","全国","2020000000","2020年","人","561533"
"2020_01","人口","0","国籍総数","1","男","077","76歳","00000","全国","2020000000","2020年","人","670027"
"2020_01","人口","0","国籍総数","1","男","078","77歳","00000","全国","2020000000","2020年","人","632854"
"2020_01","人口","0","国籍総数","1","男","079","78歳","00000","全国","2020000000","2020年","人","632702"
"2020_01","人口","0","国籍総数","1","男","080","79歳","00000","全国","2020000000","2020年","人","595744"
"2020_01","人口","0","国籍総数","1","男","081","80歳","00000","全国","2020000000","2020年","人","519332"
"2020_01","人口","0","国籍総数","1","男","082","81歳","00000","全国","2020000000","2020年","人","431327"
"2020_01","人口","0","国籍総数","1","男","083","82歳","00000","全国","2020000000","2020年","人","434337"
"2020_01","人口","0","国籍総数","1","男","084","83歳","00000","全国","2020000000","2020年","人","420044"
"2020_01","人口","0","国籍総数","1","男","085","84歳","00000","全国","2020000000","2020年","人","391053"
"2020_01","人口","0","国籍総数","1","男","086","85歳","00000","全国","2020000000","2020年","人","341010"
"2020_01","人口","0","国籍総数","1","男","087","86歳","00000","全国","2020000000","2020年","人","292041"
"2020_01","人口","0","国籍総数","1","男","088","87歳","00000","全国","2020000000","2020年","人","260360"
"2020_01","人口","0","国籍総数","1","男","089","88歳","00000","全国","2020000000","2020年","人","224083"
"2020_01","人口","0","国籍総数","1","男","090","89歳","00000","全国","2020000000","2020年","人","185979"
"2020_01","人口","0","国籍総数","1","男","091","90歳","00000","全国","2020000000","2020年","人","150062"
"2020_01","人口","0","国籍総数","1","男","092","91歳","00000","全国","2020000000","2020年","人","121414"
"2020_01","人口","0","国籍総数","1","男","093","92歳","00000","全国","2020000000","2020年","人","96135"
"2020_01","人口","0","国籍総数","1","男","094","93歳","00000","全国","2020000000","2020年","人","70704"
"2020_01","人口","0","国籍総数","1","男","095","94歳","00000","全国","2020000000","2020年","人","52988"
"2020_01","人口","0","国籍総数","1","男","096","95歳","00000","全国","2020000000","2020年","人","36610"
"2020_01","人口","0","国籍総数","1","男","097","96歳","00000","全国","2020000000","2020年","人","24062"
"2020_01","人口","0","国籍総数","1","男","098","97歳","00000","全国","2020000000","2020年","人","15354"
"2020_01","人口","0","国籍総数","1","男","099","98歳","00000","全国","2020000000","2020年","人","9835"
"2020_01","人口","0","国籍総数","1","男","100","99歳","00000","全国","2020000000","2020年","人","6249"
"2020_01","人口","0","国籍総数","1","男","101","100歳","00000","全国","2020000000","2020年","人","4166"
"2020_01","人口","0","国籍総数","1","男","102","101歳","00000","全国","2020000000","2020年","人","2144"
"2020_01","人口","0","国籍総数","1","男","103","102歳","00000","全国","2020000000","2020年","人","1378"
"2020_01","人口","0","国籍総数","1","男","104","103歳","00000","全国","2020000000","2020年","人","880"
"2020_01","人口","0","国籍総数","1","男","105","104歳","00000","全国","2020000000","2020年","人","483"
"2020_01","人口","0","国籍総数","1","男","106","105歳","00000","全国","2020000000","2020年","人","275"
"2020_01","人口","0","国籍総数","1","男","107","106歳","00000","全国","2020000000","2020年","人","223"
"2020_01","人口","0","国籍総数","1","男","108","107歳","00000","全国","2020000000","2020年","人","128"
"2020_01","人口","0","国籍総数","1","男","109","108歳","00000","全国","2020000000","2020年","人","61"
"2020_01","人口","0","国籍総数","1","男","110","109歳","00000","全国","2020000000","2020年","人","27"
"2020_01","人口","0","国籍総数","1","男","111","110歳","00000","全国","2020000000","2020年","人","1"
"2020_01","人口","0","国籍総数","2","女","001","0歳","00000","全国","2020000000","2020年","人","406650"
"2020_01","人口","0","国籍総数","2","女","002","1歳","00000","全国","2020000000","2020年","人","423207"
"2020_01","人口","0","国籍総数","2","女","003","2歳","00000","全国","2020000000","2020年","人","444220"
"2020_01","人口","0","国籍総数","2","女","004","3歳","00000","全国","2020000000","2020年","人","456416"
"2020_01","人口","0","国籍総数","2","女","005","4歳","00000","全国","2020000000","2020年","人","474400"
"2020_01","人口","0","国籍総数","2","女","006","5歳","00000","全国","2020000000","2020年","人","487243"
"2020_01","人口","0","国籍総数","2","女","007","6歳","00000","全国","2020000000","2020年","人","485305"
"2020_01","人口","0","国籍総数","2","女","008","7歳","00000","全国","2020000000","2020年","人","498587"
"2020_01","人口","0","国籍総数","2","女","009","8歳","00000","全国","2020000000","2020年","人","500267"
"2020_01","人口","0","国籍総数","2","女","010","9歳","00000","全国","2020000000","2020年","人","511040"
"2020_01","人口","0","国籍総数","2","女","011","10歳","00000","全国","2020000000","2020年","人","515380"
"2020_01","人口","0","国籍総数","2","女","012","11歳","00000","全国","2020000000","2020年","人","518176"
"2020_01","人口","0","国籍総数","2","女","013","12歳","00000","全国","2020000000","2020年","人","528286"
"2020_01","人口","0","国籍総数","2","女","014","13歳","00000","全国","2020000000","2020年","人","524919"
"2020_01","人口","0","国籍総数","2","女","015","14歳","00000","全国","2020000000","2020年","人","521625"
"2020_01","人口","0","国籍総数","2","女","016","15歳","00000","全国","2020000000","2020年","人","521181"
"2020_01","人口","0","国籍総数","2","女","017","16歳","00000","全国","2020000000","2020年","人","541657"
"2020_01","人口","0","国籍総数","2","女","018","17歳","00000","全国","2020000000","2020年","人","545713"
"2020_01","人口","0","国籍総数","2","女","019","18歳","00000","全国","2020000000","2020年","人","560916"
"2020_01","人口","0","国籍総数","2","女","020","19歳","00000","全国","2020000000","2020年","人","567944"
"2020_01","人口","0","国籍総数","2","女","021","20歳","00000","全国","2020000000","2020年","人","577927"
"2020_01","人口","0","国籍総数","2","女","022","21歳","00000","全国","2020000000","2020年","人","578734"
"2020_01","人口","0","国籍総数","2","女","023","22歳","00000","全国","2020000000","2020年","人","586497"
"2020_01","人口","0","国籍総数","2","女","024","23歳","00000","全国","2020000000","2020年","人","586024"
"2020_01","人口","0","国籍総数","2","女","025","24歳","00000","全国","2020000000","2020年","人","584255"
"2020_01","人口","0","国籍総数","2","女","026","25歳","00000","全国","2020000000","2020年","人","594097"
"2020_01","人口","0","国籍総数","2","女","027","26歳","00000","全国","2020000000","2020年","人","594502"
"2020_01","人口","0","国籍総数","2","女","028","27歳","00000","全国","2020000000","2020年","人","584368"
"2020_01","人口","0","国籍総数","2","女","029","28歳","00000","全国","2020000000","2020年","人","592946"
"2020_01","人口","0","国籍総数","2","女","030","29歳","00000","全国","2020000000","2020年","人","591964"
"2020_01","人口","0","国籍総数","2","女","031","30歳","00000","全国","2020000000","2020年","人","606266"
"2020_01","人口","0","国籍総数","2","女","032","31歳","00000","全国","2020000000","2020年","人","618786"
"2020_01","人口","0","国籍総数","2","女","033","32歳","00000","全国","2020000000","2020年","人","638083"
"2020_01","人口","0","国籍総数","2","女","034","33歳","00000","全国","2020000000","2020年","人","657183"
"2020_01","人口","0","国籍総数","2","女","035","34歳","00000","全国","2020000000","2020年","人","667245"
"2020_01","人口","0","国籍総数","2","女","036","35歳","00000","全国","2020000000","2020年","人","695106"
"2020_01","人口","0","国籍総数","2","女","037","36歳","00000","全国","2020000000","2020年","人","719706"
"2020_01","人口","0","国籍総数","2","女","038","37歳","00000","全国","2020000000","2020年","人","730322"
"2020_01","人口","0","国籍総数","2","女","039","38歳","00000","全国","2020000000","2020年","人","732178"
"2020_01","人口","0","国籍総数","2","女","040","39歳","00000","全国","2020000000","2020年","人","737400"
"2020_01","人口","0","国籍総数","2","女","041","40歳","00000","全国","2020000000","2020年","人","770853"
"2020_01","人口","0","国籍総数","2","女","042","41歳","00000","全国","2020000000","2020年","人","789164"
"2020_01","人口","0","国籍総数","2","女","043","42歳","00000","全国","2020000000","2020年","人","820244"
"2020_01","人口","0","国籍総数","2","女","044","43歳","00000","全国","2020000000","2020年","人","840905"
"2020_01","人口","0","国籍総数","2","女","045","44歳","00000","全国","2020000000","2020年","人","880465"
"2020_01","人口","0","国籍総数","2","女","046","45歳","00000","全国","2020000000","2020年","人","917469"
"2020_01","人口","0","国籍総数","2","女","047","46歳","00000","全国","2020000000","2020年","人","968651"
"2020_01","人口","0","国籍総数","2","女","048","47歳","00000","全国","2020000000","2020年","人","989261"
"2020_01","人口","0","国籍総数","2","女","049","48歳","00000","全国","2020000000","2020年","人","969591"
"2020_01","人口","0","国籍総数","2","女","050","49歳","00000","全国","2020000000","2020年","人","942331"
"2020_01","人口","0","国籍総数","2","女","051","50歳","00000","全国","2020000000","2020年","人","914413"
"2020_01","人口","0","国籍総数","2","女","052","51歳","00000","全国","2020000000","2020年","人","901504"
"2020_01","人口","0","国籍総数","2","女","053","52歳","00000","全国","2020000000","2020年","人","880203"
"2020_01","人口","0","国籍総数","2","女","054","53歳","00000","全国","2020000000","2020年","人","878653"
"2020_01","人口","0","国籍総数","2","女","055","54歳","00000","全国","2020000000","2020年","人","688075"
"2020_01","人口","0","国籍総数","2","女","056","55歳","00000","全国","2020000000","2020年","人","846742"
"2020_01","人口","0","国籍総数","2","女","057","56歳","00000","全国","2020000000","2020年","人","794086"
"2020_01","人口","0","国籍総数","2","女","058","57歳","00000","全国","2020000000","2020年","人","774759"
