曜日,層,行動,行為者率(％)
平日,男１０代,外食,19.78
平日,男１０代,仕事関連,3.7
平日,男１０代,授業・学内の活動,94.7
平日,男１０代,学校外の学習,73.8
平日,男１０代,通勤,4.3
平日,男１０代,通学,92.0
平日,男１０代,在宅,98.4
